Nom du morceau,page de début,page de fin
Ablution,1,1
Affirmation,2,2
Airmail Special,3,3
Alfie's Theme,4,4
All Alone,5,5
All God's Chillun Got Rhythm,6,6
Altoitis,7,7
Another Star,8,8
April Skies,9,9
April,10,10
Ask Me Now,12,12
Avalon,13,13
Backstage Sally,14,14
Bags And Trane,15,15
Bags' Groove,16,16
Ba-Lue Bolivar Ba-Lues-Are,20,20
Barbados,17,17
Barbara,18,18
Basin Street Blues,19,19
Be Bop,21,21
Beethoven's Blue 3rd,20,20
Better Git It In Your Soul,22,22
Beyond All Limits,23,23
Big P,404,404
Billie's Bounce,24,24
Bill's Hit Tune,405,405
Birdland,26,26
Birk's Works,37,37
Birth Of The Blues,25,25
Black And Tan Fantasy,28,28
Bloomdido,29,29
Blue And Sentimental,30,30
Blue A La Mode,32,32
Blue Moon,31,31
Blues By Five,33,33
Blues Connotation,32,32
Blue Seven,33,33
Blues For Philly Joe,34,34
Blues For Wood,34,34
Blue Silver,35,35
Blues In The Closet,36,36
Bohemia After Dark,406,406
Boogie Stop Shuffle,38,38
Booker's Waltz,39,39
Bouncing With Bud,40,40
Branilian Beat,41,41
Brian's Song,42,42
Bright Boy,43,43
Bright Moments,44,44
Brilliant Corners,45,45
Brown Skin Girl,46,46
Bud,47,47
Bud's Bubble,48,48
Bunko,49,49
Buster Rides Again,37,37
But Not For Me,50,50
Bye Bye Blackbird,51,51
Byrdlike,407,407
Can't We Be Friends,52,52
Caravan,53,53
Careful,54,54
Careless Love,55,55
Catch Me,56,56
C'est What,57,57
Chameleon,58,58
"Chase, The",59,59
Chasin' The Train,62,62
Cheese Cake,60,60
Circle,61,61
"""C"" Jam Blues",55,55
Come Rain Or Come Shine,63,63
Comin' Home Baby,64,64
Confessin' (That I Love You),65,65
Cookin',66,66
Cool Blues,64,64
"Core, The",66,66
"Cork ""N"" Bib",70,70
Cousin Mary,62,62
Crazeology,67,67
Criss/Cross,68,68
Cute,69,69
"Day In Vienna, A",71,71
Decision,408,408
Deep Purple,72,72
Dewey Square,73,73
Diane,74,74
Dindi,75,75
Domingo,76,76
Do Nothing Till You Hear From Me,77,77
Down For Double,78,78
Doxy,79,79
"Drive, The",81,81
Duff,70,70
Early Autumn,82,82
Eclypso,83,83
Einbahnstrasse,92,92
E.K.'s Blues,92,92
Elora,84,84
Embraceable You,85,85
Enchance,86,86
Epilogue,87,87
Evening In Concert,88,88
Everything I Have Is Yours,89,89
Eye Of The Hurricane,90,90
Ezz-thetic,91,91
